Moeda,Cotação,Data
Dólar,"5,60","6 de jun., 14:38 UTC ·"
Euro,"6,38","6 de jun., 14:36 UTC ·"
Real,"0,18","6 de jun., 14:37 UTC ·"
Libra Esterlina,"7,58","6 de jun., 14:38 UTC ·"
Iene,"0,039","6 de jun., 14:37 UTC ·"
Franco Suíço,"6,80","6 de jun., 14:38 UTC ·"
Dólar Australiano,"3,64","6 de jun., 14:38 UTC ·"
Peso Mexicano,"0,29","6 de jun., 14:36 UTC ·"
Dólar Canadiano,"4,09","6 de jun., 14:38 UTC ·"
Dólar de Hong Kong,"0,71","6 de jun., 14:36 UTC ·"
Yuan Chinês,"0,78","6 de jun., 14:38 UTC ·"
Rúpia Indiana,"0,065","6 de jun., 14:37 UTC ·"
Peso Chileno,"0,0060","6 de jun., 11:20 UTC ·"
Peso Argentino,"0,0047","6 de jun., 14:38 UTC ·"
Peso Colombiano,"0,0014","6 de jun., 14:38 UTC ·"
Rúpia Russa,"1,08","6 de jun., 14:37 UTC ·"
Riyal Saudi,"1,49","6 de jun., 14:37 UTC ·"
Dólar de Singapura,"4,34","6 de jun., 14:38 UTC ·"
Peso Filipino,"0,10","6 de jun., 14:38 UTC ·"
Yuan de Taiwan,"4,18","6 de jun., 14:39 UTC ·"
Dinar Iraquiano,"0,0043","6 de jun., 14:37 UTC ·"
Rúpia Sri Lanka,"3,49","6 de jun., 14:38 UTC ·"
Yuan Chinês,"0,78","6 de jun., 14:38 UTC ·"
